acquisitionDate,scene_id
2020-04-13T10:05:49Z,S2B_MSIL1C_20200413T100549_N0209_R022_T30NZM_20200413T134946
2020-04-03T10:05:49Z,S2B_MSIL1C_20200403T100549_N0209_R022_T30NZM_20200403T135413
2020-03-29T10:10:21Z,S2A_MSIL1C_20200329T101021_N0209_R022_T30NZM_20200329T121428
2020-03-22T10:20:21Z,S2A_MSIL1C_20200322T102021_N0209_R065_T30NZM_20200322T122409
2020-03-12T10:20:21Z,S2A_MSIL1C_20200312T102021_N0209_R065_T30NZM_20200312T123419
2020-03-09T10:10:21Z,S2A_MSIL1C_20200309T101021_N0209_R022_T30NZM_20200309T122556
2020-02-28T10:10:21Z,S2A_MSIL1C_20200228T101021_N0209_R022_T30NZM_20200228T111325
2020-02-23T10:09:19Z,S2B_MSIL1C_20200223T100919_N0209_R022_T30NZM_20200223T130018
2020-02-21T10:20:41Z,S2A_MSIL1C_20200221T102041_N0209_R065_T30NZM_20200221T121341
2019-11-26T10:04:00Z,DS_SPOT6_201911261004001_FR1_FR1_FR1_FR1_E000N06_03089
2019-01-11T10:32:59Z,DS_PHR1B_201901111032590_FR1_PX_W001N05_1117_03298
2019-05-08T10:33:19.555Z,DS_PHR1A_201905081033195_FR1_PX_W001N05_1115_00786
2019-02-26T10:29:40.18Z,DS_PHR1A_201902261029401_FR1_PX_W001N05_1115_01693
2020-05-08T10:10:31Z,S2A_MSIL1C_20200508T101031_N0209_R022_T30NZM_20200508T134553
2020-04-16T10:15:49Z,S2B_MSIL1C_20200416T101549_N0209_R065_T30NZM_20200416T131242
